"drought_count","year","month","state"
"1",2005,"December","OKLAHOMA"
"1",2005,"December","TEXAS"
"3",2005,"March","PUERTO RICO"
"1",2005,"March","WASHINGTON"
"1",2006,"April","OKLAHOMA"
"1",2006,"April","TEXAS"
"1",2006,"January","OKLAHOMA"
"1",2006,"March","OKLAHOMA"
"1",2011,"August","TEXAS"
"1",2011,"December","TEXAS"
"1",2011,"July","TEXAS"
"1",2011,"June","TEXAS"
"1",2011,"May","TEXAS"
"1",2011,"November","TEXAS"
"1",2011,"October","TEXAS"
"1",2011,"September","TEXAS"
"5",2012,"August","MISSOURI"
"1",2012,"February","TEXAS"
"1",2012,"January","TEXAS"
"24",2012,"July","NEBRASKA"
"1",2012,"March","TEXAS"
"1",2013,"February","TEXAS"
"1",2013,"January","TEXAS"
"1",2014,"April","TEXAS"
"1",2014,"March","TEXAS"
"1",2022,"August","MISSOURI"
"6",2022,"November","MISSOURI"
